age,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction,Gender_Male,customer_type_disloyal Customer,type_of_travel_Personal Travel,customer_class_Eco,customer_class_Eco Plus
57,67,1,5,1,3,3,4,4,5,1,5,4,5,5,8,7,0,0,0,1,1,0
22,1955,2,3,3,3,2,2,2,2,5,3,4,3,2,7,0,0,0,0,0,0,0
28,134,2,3,2,3,3,2,3,4,5,3,2,3,3,0,0,0,0,0,1,1,0
64,1598,3,4,4,1,2,4,2,3,4,4,5,4,2,0,0,0,1,0,1,1,0
40,373,3,3,3,2,1,3,1,5,3,4,4,5,1,10,6,0,1,1,0,0,0
42,273,2,3,2,3,5,2,5,1,5,3,1,4,5,0,0,0,1,0,1,0,1
16,641,4,2,4,3,4,4,4,1,2,3,3,4,4,0,0,0,0,1,0,1,0
35,447,1,4,1,3,5,4,5,5,1,5,3,5,5,0,0,0,1,0,1,0,0
40,848,2,5,2,4,1,2,2,5,4,4,3,4,1,0,0,0,1,0,1,1,0
53,758,2,5,4,5,2,2,2,3,3,3,3,4,2,0,0,0,1,0,0,1,0
38,255,2,1,2,3,5,2,5,4,4,4,1,4,5,0,0,0,0,1,0,1,0
24,1192,1,5,1,5,1,1,1,4,3,4,5,5,1,0,2,0,1,0,1,1,0
14,486,4,1,4,3,3,4,3,4,5,1,1,3,3,0,0,0,1,0,1,1,0
50,2973,4,2,2,2,2,4,3,2,3,4,4,2,1,0,0,0,0,0,0,0,0
63,1197,1,5,0,3,2,0,2,4,2,5,4,4,2,0,0,0,1,0,1,1,0
38,630,4,5,4,5,2,4,2,4,2,5,5,5,2,0,0,0,0,0,1,1,0
8,570,3,5,3,2,3,3,3,4,2,4,5,5,3,0,0,0,1,0,1,1,0
45,646,4,4,4,4,5,4,4,2,4,1,4,2,2,0,0,0,0,0,1,1,0
35,151,2,2,5,5,2,2,2,1,1,3,3,4,2,0,0,0,1,0,0,1,0
54,646,3,5,5,5,3,3,3,2,2,3,4,3,3,0,0,0,1,0,0,1,0
52,2475,1,2,2,2,1,1,1,5,3,4,1,2,1,7,0,0,0,0,0,0,0
40,705,4,4,4,5,5,4,5,5,5,3,5,2,5,0,9,0,0,1,0,0,0
57,373,3,2,3,3,5,3,3,5,3,5,1,5,4,6,6,0,0,0,1,1,0
24,1258,3,3,3,1,3,3,3,4,5,5,4,4,3,0,0,0,1,1,0,1,0
39,209,3,2,2,4,2,2,2,2,2,5,5,5,2,0,0,0,0,1,0,0,0
54,990,2,5,2,4,3,5,4,2,2,2,5,2,4,0,0,0,0,0,1,1,0
26,395,2,4,2,3,4,2,4,2,5,3,4,4,4,12,7,0,1,1,0,0,1
36,1084,3,5,3,5,4,3,4,5,2,4,4,5,4,17,10,0,1,0,1,1,0
68,1028,1,3,1,3,5,4,4,4,1,5,3,4,2,0,0,0,0,0,1,1,0
27,1294,3,5,3,3,2,3,2,5,5,4,5,5,2,0,0,0,0,0,1,1,0
50,1033,4,1,4,3,1,3,2,3,4,3,1,3,3,0,0,0,0,0,1,1,0
24,965,2,1,1,1,2,2,1,3,4,2,1,2,2,0,0,0,1,0,0,1,0
25,997,2,4,2,4,2,2,2,5,3,5,4,4,2,0,0,0,1,1,0,0,0
58,224,3,4,4,4,2,3,4,3,3,3,4,3,2,0,0,0,0,0,0,1,0
35,599,3,3,3,2,1,3,1,1,1,5,5,1,1,4,6,0,1,0,1,1,0
59,1670,2,4,5,4,1,2,1,2,4,2,4,4,1,0,8,0,1,0,0,0,1
47,252,3,5,3,4,4,3,4,5,3,5,3,5,4,0,0,0,1,0,1,1,0
35,1464,3,5,3,1,1,3,1,3,2,4,3,5,1,0,0,0,1,0,1,1,0
49,2586,1,2,2,2,2,3,2,1,1,1,4,1,1,18,0,0,1,0,0,0,0
37,844,1,1,1,1,1,1,1,1,4,4,3,3,1,0,0,0,1,0,0,0,1
10,1124,2,2,3,2,5,3,5,3,4,1,4,3,5,0,0,0,0,0,1,1,0
52,3286,3,4,4,4,3,3,3,3,3,3,4,3,2,0,0,0,1,0,0,0,0
47,738,2,3,2,3,3,2,3,3,5,3,3,3,3,0,0,0,1,0,1,1,0
32,347,1,5,1,1,1,1,1,3,4,4,4,5,1,0,2,0,1,0,1,1,0
39,772,2,3,2,5,3,2,3,5,1,4,4,2,3,0,2,0,1,0,1,1,0
18,355,3,4,3,5,4,3,4,4,2,4,4,4,4,0,2,0,1,0,1,1,0
42,1357,1,1,1,4,1,3,4,5,1,5,2,5,4,0,0,0,0,0,1,1,0
24,669,2,1,1,1,2,2,4,3,3,3,1,3,2,0,8,0,0,0,0,1,0
42,476,1,2,2,2,4,2,2,3,2,3,1,3,3,0,0,0,0,0,1,0,1
33,2076,1,0,0,3,4,0,4,2,3,3,2,4,4,0,0,0,1,0,0,0,0
34,2329,1,1,1,3,3,1,3,3,2,4,4,5,3,18,0,0,1,1,0,0,0
57,1940,3,4,4,4,3,4,4,2,2,3,4,2,3,0,0,0,1,0,0,0,0
18,1440,1,1,1,2,2,1,1,2,5,1,3,3,2,10,7,0,1,0,1,1,0
29,641,1,4,1,2,5,1,5,4,5,5,3,5,5,0,5,0,1,0,1,1,0
38,646,2,2,2,3,3,2,1,5,5,5,3,4,3,0,0,0,1,1,0,0,0
16,134,2,5,0,4,3,0,3,1,3,3,4,4,3,0,0,0,1,0,1,1,0
26,134,4,2,4,3,3,4,3,1,1,3,3,3,3,0,0,0,1,0,1,0,0
48,247,2,5,0,3,2,0,4,3,2,4,4,5,2,0,0,0,1,0,1,1,0
8,404,3,5,3,3,2,3,2,5,2,3,1,5,2,0,3,0,1,0,1,1,0
13,1276,3,5,3,3,5,3,5,3,2,3,4,5,5,0,0,0,1,0,1,1,0
54,748,2,2,2,3,1,2,1,2,3,3,3,3,1,0,0,0,1,1,0,1,0
24,359,1,3,3,3,1,2,1,1,5,4,4,3,1,0,9,0,0,0,0,0,0
65,305,1,5,1,3,1,5,1,2,1,2,3,2,3,0,0,0,0,0,1,1,0
45,491,3,3,3,3,2,3,2,4,2,4,3,5,2,0,0,0,0,1,0,0,0
10,764,3,5,3,3,2,3,2,5,4,5,1,1,2,0,0,0,0,0,1,0,1
25,1020,3,5,3,3,2,3,2,4,5,5,4,4,2,0,0,0,0,1,0,0,0
60,1192,2,4,2,4,3,2,4,3,2,5,3,5,3,0,0,0,1,0,1,1,0
60,334,3,1,1,1,2,4,3,3,3,3,4,3,3,0,0,0,0,0,0,1,0
19,331,2,2,2,3,3,2,3,3,1,3,3,3,3,0,0,0,0,0,1,1,0
27,2475,2,2,2,3,2,1,1,4,2,1,1,5,1,3,0,0,0,1,0,0,1
52,177,2,4,2,3,4,5,4,5,2,5,5,5,5,9,3,0,0,0,1,1,0
47,363,2,4,2,5,2,2,2,5,4,4,3,4,2,0,1,0,1,0,1,0,1
69,251,4,3,0,3,1,0,1,1,4,4,1,4,1,0,0,0,1,0,1,1,0
39,480,2,3,2,2,5,2,1,1,5,3,1,3,5,0,0,0,0,0,1,1,0
20,1084,2,5,2,2,5,2,5,4,5,4,3,4,5,7,8,0,0,0,1,1,0
42,930,4,4,4,2,3,4,4,3,4,3,3,3,5,0,0,0,0,0,1,1,0
27,502,3,4,3,4,5,3,5,2,5,4,3,4,5,0,2,0,1,1,0,1,0
8,1542,3,3,3,3,5,3,5,4,2,3,3,2,5,0,0,0,1,0,1,1,0
35,448,3,2,2,2,3,3,3,2,3,3,2,3,3,20,12,0,1,0,0,0,1
31,1023,2,5,2,1,2,2,2,3,4,3,2,3,2,0,0,0,1,0,1,1,0
41,1065,3,4,3,3,5,3,5,3,2,5,5,4,5,0,0,0,0,0,1,1,0
56,166,2,4,4,4,1,3,4,2,2,2,2,2,1,0,0,0,0,0,0,0,0
39,2537,1,1,1,1,1,4,3,2,2,1,2,2,1,0,0,0,0,0,0,0,0
16,725,3,2,3,4,5,3,5,3,4,4,3,3,5,0,0,0,0,0,1,0,1
68,919,2,5,1,4,3,5,4,4,1,1,4,4,4,0,0,0,0,0,1,1,0
51,2556,1,2,2,2,1,1,1,5,4,4,1,3,1,0,7,0,0,0,0,1,0
55,151,3,5,3,4,3,5,4,2,3,5,3,2,5,0,4,0,0,0,1,1,0
39,164,2,0,2,3,1,2,1,3,2,4,4,4,1,0,0,0,1,1,0,1,0
26,429,3,3,3,3,5,3,5,3,4,3,3,4,5,0,0,0,0,1,0,1,0
62,231,2,4,2,1,5,2,5,3,5,4,4,4,5,0,0,0,1,0,1,1,0
31,304,1,5,3,3,3,3,3,3,3,5,5,5,3,0,6,0,0,0,1,1,0
55,525,1,1,1,4,3,1,3,3,4,4,3,4,3,4,0,0,1,1,0,0,1
11,1979,2,3,3,3,2,2,3,1,4,3,1,3,2,1,11,0,0,0,0,0,1
40,406,2,2,2,4,1,2,1,1,4,3,2,3,1,0,0,0,0,1,0,0,0
52,1578,1,2,2,2,3,4,3,1,1,1,2,1,2,24,12,0,1,0,0,0,0
59,731,2,3,3,4,1,4,4,4,3,1,3,4,3,4,0,0,0,0,1,1,0
11,735,1,5,1,4,5,1,5,4,2,4,5,3,5,0,0,0,1,0,1,0,1
70,715,3,2,3,3,5,3,3,1,3,1,2,1,2,0,0,0,0,0,1,1,0
7,950,3,1,3,3,2,3,2,4,5,4,3,3,2,0,2,0,0,0,1,1,0
26,794,1,1,1,4,4,1,4,5,5,2,1,2,4,4,1,0,0,1,0,1,0
68,240,3,5,3,4,2,4,5,2,3,2,3,2,3,0,0,0,0,0,1,1,0
47,2614,1,3,3,3,4,3,4,1,1,1,2,1,2,9,11,0,0,0,0,0,0
38,799,4,4,3,4,2,3,2,3,4,4,3,4,2,0,0,0,1,0,1,0,1
15,2586,2,4,2,1,2,2,2,2,2,1,2,5,2,0,12,0,0,0,1,1,0
20,335,2,2,3,3,5,3,5,3,4,3,2,4,5,0,0,0,0,1,0,1,0
35,257,2,2,2,3,1,2,1,1,2,3,1,3,1,0,0,0,1,0,1,0,1
19,3218,3,3,3,3,3,3,3,4,2,4,1,4,3,0,0,0,1,0,0,0,0
35,1368,2,1,1,1,2,2,2,1,1,3,4,3,2,0,9,0,0,0,0,1,0
51,599,2,1,2,3,1,3,3,1,2,1,1,1,4,0,0,0,1,0,1,0,0
30,405,2,2,2,4,1,2,1,2,3,4,3,3,1,0,0,0,1,1,0,1,0
25,1167,1,1,1,4,2,1,2,2,1,3,1,2,2,0,0,0,1,1,0,1,0
45,191,2,2,4,4,5,3,3,2,2,2,4,2,4,0,0,0,0,0,0,0,0
10,944,1,4,1,4,3,1,2,2,4,2,1,3,3,13,2,0,1,0,1,1,0
21,986,2,5,2,3,3,2,2,3,5,4,4,4,3,0,0,0,0,0,1,1,0
40,328,2,1,1,2,1,1,1,3,2,5,5,4,1,0,0,0,0,1,0,0,0
27,1345,3,4,4,3,2,4,1,5,2,5,5,5,2,0,0,0,0,1,0,0,0
70,404,3,5,4,5,4,3,2,5,4,1,5,5,1,9,2,0,0,0,1,1,0
28,399,1,0,0,1,5,0,5,3,3,2,1,1,5,0,0,0,1,0,0,1,0
38,157,2,2,2,3,2,2,2,4,4,3,2,4,2,5,0,0,0,1,0,1,0
45,1009,2,2,2,2,5,2,3,2,2,2,2,2,2,0,8,0,0,0,0,1,0
37,751,2,1,1,3,5,1,5,4,5,5,4,2,5,1,0,0,1,1,0,1,0
33,1949,3,1,1,1,2,3,3,3,3,3,1,3,4,10,10,0,0,0,0,0,0
25,667,3,0,3,3,1,3,1,5,4,5,4,4,1,0,0,0,1,1,0,0,0
15,844,3,3,2,3,2,2,1,1,1,3,4,4,2,0,0,0,1,0,1,1,0
26,806,2,5,2,5,1,2,1,1,1,1,2,5,1,0,0,0,0,0,1,1,0
53,589,3,4,3,3,3,4,3,3,3,3,3,3,3,0,0,0,0,0,1,1,0
16,329,3,3,3,4,1,3,1,2,5,4,3,3,1,0,0,0,1,0,1,1,0
39,351,1,1,1,5,3,1,3,4,5,4,4,5,3,6,3,0,1,1,0,0,0
23,867,1,2,2,2,1,1,3,2,3,4,3,3,1,0,0,0,1,0,0,1,0
43,922,3,3,3,4,3,3,3,4,1,1,5,1,3,0,0,0,0,1,0,1,0
53,73,1,4,1,3,4,5,5,4,1,4,3,4,4,0,0,0,0,0,1,1,0
42,580,1,3,3,3,2,3,3,1,1,1,3,1,2,16,6,0,0,0,0,1,0
25,2277,3,3,3,3,2,3,2,3,4,4,3,4,2,0,0,0,0,1,0,1,0
12,283,3,5,3,2,2,3,2,5,3,5,3,4,2,0,0,0,0,0,1,1,0
22,563,3,5,3,1,5,3,3,3,4,4,4,4,5,0,0,0,0,0,1,1,0
11,1670,2,0,2,3,1,2,1,3,1,4,4,2,1,0,0,0,0,0,1,1,0
69,994,2,2,2,3,2,2,2,4,4,4,3,4,2,0,0,0,1,0,1,1,0
70,2845,2,4,2,1,2,2,2,3,2,5,4,4,2,0,0,0,1,0,1,1,0
33,597,3,4,3,2,4,3,3,1,2,4,2,2,4,0,0,0,0,0,1,1,0
41,308,4,5,4,3,3,4,3,3,3,5,5,5,3,0,0,0,1,0,1,1,0
20,929,3,4,3,4,4,3,2,5,4,5,4,4,4,0,7,0,0,0,1,1,0
55,383,1,1,1,1,5,4,3,1,1,1,4,1,3,0,0,0,0,0,0,0,1
18,760,2,5,2,1,5,2,5,5,3,5,3,4,5,27,11,0,0,0,1,1,0
51,86,2,1,2,4,2,4,3,2,2,2,4,2,2,0,0,0,0,0,1,1,0
56,481,3,2,2,2,1,3,4,3,3,3,1,3,4,9,6,0,0,0,0,1,0
23,1291,3,3,3,3,4,3,4,1,5,4,4,4,4,0,0,0,0,1,0,1,0
32,679,3,5,3,1,1,3,1,3,3,4,5,5,1,0,0,0,0,0,1,1,0
44,780,3,2,2,2,3,3,3,4,4,2,2,2,3,0,0,0,1,0,0,1,0
63,577,2,1,2,2,4,2,4,2,5,2,4,2,4,19,2,0,1,0,1,1,0
28,762,3,2,2,3,1,2,1,2,4,2,1,2,1,0,0,0,1,1,0,1,0
38,430,2,3,3,2,1,3,1,5,4,5,3,4,1,0,0,0,1,1,0,0,0
66,522,1,5,1,3,3,1,3,4,2,5,3,5,3,0,0,0,1,0,1,0,1
21,578,3,0,2,5,1,2,1,4,4,4,5,5,1,0,11,0,1,1,0,1,0
21,602,3,4,3,3,4,3,4,5,5,4,4,4,4,14,7,0,0,0,1,1,0
41,1814,3,5,3,4,5,5,4,4,3,4,5,4,3,0,0,0,0,0,1,0,0
24,262,3,0,3,4,1,3,1,4,2,3,5,1,1,2,0,0,0,1,0,1,0
62,936,2,5,2,4,4,2,4,5,4,5,4,5,4,3,0,0,1,0,1,1,0
22,399,2,5,2,4,3,2,3,4,4,5,4,4,3,2,0,0,1,0,1,1,0
27,985,1,0,0,4,5,0,5,1,5,3,4,3,5,0,0,0,1,0,0,0,1
25,1387,1,0,0,3,2,1,2,3,4,4,4,3,2,0,0,0,1,1,0,1,0
56,521,1,3,1,4,1,1,1,3,2,3,3,3,1,0,0,0,1,0,1,1,0
9,421,2,3,2,1,2,2,2,4,1,4,1,4,2,0,0,0,1,0,1,1,0
12,236,2,1,2,2,3,2,3,2,3,2,2,3,3,0,0,0,0,0,1,0,1
64,1416,4,5,4,3,4,5,4,3,4,3,3,3,3,8,0,0,0,0,1,1,0
41,361,1,1,1,1,5,1,5,3,5,5,5,4,5,14,0,0,0,1,0,0,0
25,390,2,0,2,5,5,2,5,5,3,5,5,5,5,0,0,0,0,1,0,0,0
19,957,1,5,2,2,4,2,1,4,2,4,4,5,4,13,10,0,1,0,1,1,0
35,364,3,4,4,4,5,4,3,3,3,3,1,3,2,0,0,0,1,0,0,0,0
53,216,4,0,0,5,2,5,4,2,0,5,5,2,5,4,0,0,0,0,1,1,0
42,338,4,5,4,3,5,5,2,5,4,5,2,5,1,0,0,0,0,0,1,1,0
29,196,4,4,4,2,1,4,1,3,4,5,4,5,1,0,0,0,0,0,1,1,0
22,765,3,3,3,4,2,3,2,4,2,5,4,5,2,0,0,0,0,1,0,1,0
25,184,3,1,3,2,4,3,1,1,1,2,4,3,4,0,0,0,1,1,0,1,0
65,247,2,4,2,5,4,2,4,3,3,4,4,4,4,0,0,0,1,0,1,1,0
64,838,2,5,2,3,3,4,5,5,2,5,5,5,5,0,0,0,0,0,1,1,0
18,327,2,0,2,2,4,2,4,3,5,4,3,5,4,0,2,0,1,0,1,1,0
21,235,3,5,3,1,5,3,3,5,4,5,4,4,5,0,0,0,0,0,1,1,0
26,599,3,4,3,3,5,3,2,5,2,2,1,2,5,0,0,0,0,1,0,1,0
27,589,4,4,4,5,3,4,1,5,5,4,4,4,3,0,0,0,0,1,0,0,0
28,997,3,3,3,3,2,3,5,3,3,3,4,2,2,0,1,0,0,1,0,1,0
45,399,1,2,1,3,1,1,1,4,3,4,1,3,1,0,0,0,1,0,1,1,0
64,1144,3,1,1,1,4,3,4,4,2,3,1,2,4,0,0,0,1,0,0,0,1
36,3499,2,2,2,2,4,3,3,2,3,2,4,2,3,0,0,0,0,0,0,0,0
23,2399,4,4,4,2,2,4,2,2,1,4,1,4,2,0,3,0,0,1,0,1,0
30,936,1,5,1,4,4,1,1,4,4,5,2,2,4,0,0,0,0,0,1,1,0
52,594,1,1,1,1,5,3,4,1,1,1,1,1,2,0,0,0,1,0,0,0,0
34,1546,1,1,1,3,3,1,5,4,5,4,4,3,3,0,6,0,0,1,0,1,0
39,127,2,3,3,3,3,4,3,1,1,2,3,1,2,19,7,0,0,0,0,0,0
30,547,3,4,4,4,3,3,3,1,2,2,1,3,3,0,0,0,0,0,0,0,0
46,748,3,4,2,2,5,5,4,1,2,1,4,1,4,0,0,0,0,0,1,1,0
20,867,2,3,2,3,2,2,4,4,3,3,2,3,2,0,0,0,0,0,1,0,0
26,674,3,5,4,2,4,4,4,3,3,1,3,1,4,0,0,0,0,1,0,0,1
33,190,2,4,0,4,5,0,5,4,4,4,1,3,5,0,0,0,0,0,1,1,0
65,581,3,5,3,3,3,5,5,4,3,4,3,4,4,0,0,0,0,0,1,1,0
54,925,3,4,4,4,3,3,4,4,4,4,3,4,2,0,1,0,0,0,1,1,0
26,414,1,4,1,4,1,1,2,3,2,3,4,4,1,0,1,0,0,0,1,1,0
48,997,4,4,3,3,3,3,3,4,4,4,5,5,3,0,6,0,1,0,1,1,0
30,199,1,5,0,3,5,0,5,3,3,5,4,4,5,0,0,0,1,0,1,1,0
41,308,1,5,5,5,1,1,1,2,3,4,2,3,1,0,0,0,1,0,0,1,0
28,1121,1,3,1,3,5,1,5,3,1,4,3,3,5,8,0,0,1,0,1,1,0
34,2501,3,1,1,1,4,4,3,4,4,3,1,4,1,0,0,0,1,0,0,0,0
27,829,1,1,1,4,1,1,1,4,3,4,5,5,1,0,0,0,0,1,0,0,0
57,406,2,1,2,4,3,2,3,2,5,3,4,3,3,0,12,0,1,0,1,1,0
35,2783,2,5,5,5,4,3,4,2,2,2,4,2,3,0,1,0,1,0,0,0,0
16,222,3,1,3,3,1,3,5,1,4,3,3,3,1,0,0,0,1,0,1,1,0
58,542,1,4,1,5,3,5,3,1,1,3,1,1,1,5,0,0,0,0,1,1,0
68,358,1,5,1,5,3,1,3,5,2,4,5,5,3,11,8,0,1,0,1,1,0
28,845,2,5,5,5,2,2,2,4,5,3,3,4,2,0,0,0,0,0,0,1,0
49,3386,4,1,1,1,2,4,3,4,4,4,4,4,3,7,3,0,0,0,0,0,0
30,588,4,2,4,3,4,4,3,1,3,3,2,4,4,0,0,0,1,1,0,1,0
16,1912,2,4,4,4,2,2,2,2,2,3,3,4,2,3,0,0,1,0,0,0,0
49,628,3,4,3,2,4,5,4,5,3,5,4,5,5,0,0,0,0,0,1,1,0
27,1133,4,4,4,3,4,4,5,4,3,3,2,3,4,0,8,0,1,1,0,0,0
12,1076,2,2,2,4,5,2,5,3,5,3,3,3,5,1,0,0,0,0,1,1,0
32,236,2,5,5,5,2,2,2,1,1,3,3,4,2,0,0,0,0,0,0,0,0
42,602,1,2,2,2,3,3,4,1,1,1,3,1,3,28,6,0,0,0,0,1,0
57,552,3,5,3,3,4,3,4,4,5,4,3,5,4,0,0,0,1,0,1,1,0
40,581,3,3,3,3,2,3,2,1,5,4,2,1,2,0,0,0,0,1,0,0,0
45,697,3,4,3,3,5,3,4,5,3,5,4,5,2,1,7,0,0,0,1,1,0
38,2533,1,2,2,2,1,1,4,1,1,1,2,1,2,4,0,0,1,0,0,0,0
39,599,4,5,4,2,5,4,5,5,5,2,5,4,5,6,0,0,0,0,1,1,0
46,1096,3,3,3,3,3,4,3,2,3,2,1,2,3,0,0,0,0,0,1,1,0
43,541,1,2,2,2,5,4,3,1,1,1,4,1,2,0,0,0,0,0,0,0,1
25,594,2,5,2,3,2,2,2,5,2,5,3,5,2,2,0,0,1,1,0,0,0
23,140,3,5,3,4,4,3,4,3,1,2,1,2,4,0,0,0,0,0,1,1,0
55,1009,4,2,4,4,1,3,4,4,4,4,2,4,3,0,0,0,0,0,1,0,0
59,850,2,5,2,3,3,2,3,4,2,4,5,4,3,13,5,0,1,0,1,1,0
64,925,3,3,3,2,2,3,2,2,5,3,4,2,2,0,10,0,1,0,1,1,0
64,259,1,1,1,1,1,1,1,2,5,3,3,3,1,12,10,0,1,0,0,0,1
26,1310,2,4,2,4,2,2,2,3,3,5,5,5,2,0,0,0,0,0,1,0,0
61,925,3,3,3,3,3,3,3,5,4,4,3,4,3,0,2,0,1,0,0,0,0
60,332,3,1,1,1,5,3,2,2,3,2,2,2,1,0,1,0,0,0,0,1,0
27,1444,4,4,4,4,5,4,5,4,5,4,3,4,5,7,1,0,1,1,0,0,0
57,1969,2,3,2,3,1,2,1,1,5,3,2,4,1,11,3,0,1,0,1,1,0
32,867,3,4,3,2,4,3,2,4,2,5,1,5,4,0,0,0,1,0,1,1,0
39,808,2,4,2,4,3,2,3,4,1,3,2,3,3,15,3,0,1,0,1,1,0
28,305,3,5,3,3,2,3,2,2,1,3,1,4,2,6,0,0,1,1,0,1,0
70,802,1,2,1,3,1,3,3,4,1,4,2,4,1,0,0,0,0,0,1,0,0
36,102,4,3,4,4,5,4,3,5,4,4,1,4,5,0,0,0,1,1,0,1,0
36,2260,3,4,4,4,2,3,4,3,3,3,3,3,4,17,8,0,1,0,0,0,0
18,190,3,2,3,4,2,3,2,1,4,3,1,3,2,0,0,0,0,1,0,1,0
73,102,3,0,2,2,5,2,5,2,4,5,2,3,5,0,0,0,0,1,0,1,0
25,95,3,1,3,4,4,3,5,1,2,4,4,4,4,0,0,0,0,1,0,0,1
36,1431,3,3,3,1,2,3,2,3,4,5,5,4,2,0,0,0,0,1,0,0,0
24,341,2,0,2,3,2,2,2,5,5,5,3,3,2,0,0,0,0,1,0,1,0
15,1504,1,4,1,2,3,1,3,4,3,4,4,5,3,4,2,0,1,0,1,1,0
55,731,3,2,3,2,2,2,2,4,3,4,2,4,3,0,0,0,0,0,1,1,0
40,1080,4,3,4,4,3,4,3,3,5,5,5,3,3,0,0,0,0,0,1,1,0
58,472,2,5,2,3,3,2,3,1,1,2,2,1,3,0,0,0,1,0,1,1,0
43,1448,1,1,5,1,5,3,4,1,1,1,1,1,3,0,0,0,0,0,0,0,0
11,641,3,4,3,3,4,3,4,5,4,4,5,4,4,0,0,0,1,0,1,1,0
16,453,1,5,5,5,1,1,1,3,2,3,4,4,1,0,0,0,0,0,0,0,0
40,391,4,5,5,5,4,4,4,1,4,3,3,3,4,4,0,0,1,0,0,1,0
27,628,2,4,2,1,2,2,2,4,5,4,5,5,2,11,1,0,0,0,1,1,0
42,804,2,5,2,2,2,2,2,1,2,5,2,2,2,0,11,0,1,0,1,1,0
39,1546,4,4,4,3,2,4,2,3,3,3,2,4,2,11,10,0,0,0,1,1,0
56,471,3,3,3,5,5,3,5,5,1,1,5,3,5,0,0,0,1,0,1,1,0
50,162,1,4,1,4,5,1,5,3,3,5,5,5,5,0,0,0,1,0,1,0,1
31,679,2,5,2,2,2,2,3,4,5,5,4,5,2,0,0,0,0,0,1,1,0
43,406,3,4,4,3,5,4,3,2,2,3,4,3,5,0,2,0,1,1,0,1,0
31,558,2,5,2,1,4,2,4,4,4,3,3,2,4,0,4,0,1,0,1,1,0
23,991,3,5,3,2,4,3,4,5,2,5,3,5,4,11,0,0,1,0,1,1,0
11,461,1,5,1,2,1,1,1,5,3,5,3,5,1,0,0,0,0,0,1,1,0
34,1000,4,4,4,3,1,4,1,3,4,2,2,4,1,0,0,0,1,1,0,1,0
20,762,2,4,2,3,4,2,4,1,4,4,3,3,4,0,0,0,0,0,1,1,0
11,406,3,2,3,2,5,3,5,1,1,3,2,3,5,0,0,0,0,0,1,1,0
23,1888,4,5,5,5,4,3,4,1,3,4,4,4,4,0,0,0,1,0,0,0,0
65,277,2,4,2,4,4,3,4,2,2,2,1,2,3,0,6,0,0,0,1,1,0
24,374,2,4,4,4,2,2,1,4,5,3,1,4,2,0,2,0,0,0,0,1,0
